"","W_st","R_eq_sen","R0_sen","R_eq_res","R0_res","No_trt_cat","Incidence","Vector_no","Prob_onward_tran","Risk","prevalence","vector_birth","vector_mortality","fit.adj"
"R0s51",0,0.248117771170915,0.248117771170694,2.35972567504952,2.35972567504742,1.28473168951193e-39,1.10479547803576e-39,5000,0.905553871427562,1.1633937551832e-39,5.46126482209889e-43,0.12,0.12,0.9
"R0s52",0,0.222032060780087,0.22203206078005,2.35972567504781,2.35972567504742,7.46361855238752e-43,6.41597106749074e-43,5000,0.9055538714274,6.75870867497189e-43,2.78953155078275e-46,0.12,0.12,0.9
"R0s53",0,0.195946350389466,0.195946350389405,2.35972567504815,2.35972567504742,2.34565135234013e-46,2.02279449436572e-46,5000,0.905553871427432,2.1241136631306e-46,7.58854012738053e-50,0.12,0.12,0.9
"R0s54",0,0.169860639998696,0.169860639998761,2.35972567504652,2.35972567504742,3.72611223152556e-50,3.23586016803726e-50,5000,0.905553871427279,3.37419535663051e-50,1.02225445345204e-53,0.12,0.12,0.9
"R0s55",0,0.143774929607742,0.143774929608116,2.35972567504127,2.35972567504742,2.67806302506843e-54,2.35182600143961e-54,5000,0.905553871426783,2.42513034027564e-54,6.05824559327251e-58,0.12,0.12,0.9
"R0s56",0,0.117689219217491,0.117689219217472,2.3597256750478,2.35972567504742,7.96143726256366e-59,7.10168965321631e-59,5000,0.905553871427399,7.20951033524087e-59,1.4258042931442e-62,0.12,0.12,0.9
"R0s57",0,0.0916035088269266,0.0916035088268271,2.35972567504998,2.35972567504742,7.90757541163402e-64,7.19885779441292e-64,5000,0.905553871427605,7.16073552761093e-64,1.0511690018281e-67,0.12,0.12,0.9
"R0s58",0,0.0655177984361407,0.0655177984361825,2.35972567504591,2.35972567504742,1.90601241382653e-69,1.77992979716058e-69,5000,0.905553871427221,1.72599692032896e-69,1.67189626458606e-73,0.12,0.12,0.9
"R0s59",0,0.0394320880454782,0.0394320880455378,2.35972567504385,2.35972567504742,5.9435395221914e-76,5.7251320143975e-76,5000,0.905553871427026,5.38219522429996e-76,2.58041550607217e-80,0.12,0.12,0.9
"R0s60",0,1.00656393360881,1.15115102973854,0.90590754024793,1.03603592676468,0,14.6700725035005,5000,0.595825086393797,0,0.0627448116961292,0.15,0.15,0.9
"R0s61",0,0.920478286174508,0.922092767367903,1.03422194385685,1.03603592676468,0.0429043576299926,0.202410378675153,5000,0.64449712545733,0.0276517351621235,0.000737634257164137,0.15,0.15,0.9
"R0s62",0,0.693034466287706,0.693034504997269,1.03603586889672,1.03603592676468,2.44726400714925e-06,4.81473615545667e-06,5000,0.645141396516849,1.57883131921769e-06,1.57779932014657e-08,0.15,0.15,0.9
"R0s63",0,0.463976242626554,0.463976242626636,1.0360359267645,1.03603592676468,8.5892395253643e-15,9.23973211802772e-15,5000,0.64514141705173,5.54127415879025e-15,2.4611786412374e-17,0.15,0.15,0.9
"R0s64",0,0.234917980256004,0.234917980256002,1.03603592676469,1.03603592676468,4.10784344997694e-35,2.93639019968003e-35,5000,0.645141417051798,2.65013994434507e-35,4.41401267136689e-38,0.15,0.15,0.9
"R0s65",0,0.120388849070659,0.120388849070685,1.03603592676446,1.03603592676468,9.63404997676736e-57,6.99099765564705e-57,5000,0.645141417051715,6.21532465395874e-57,4.60093468527566e-60,0.15,0.15,0.9
"R0s66",0,0.108935935952128,0.108935935952154,1.03603592676444,1.03603592676468,1.68759769246406e-59,1.24723494616082e-59,5000,0.645141417051708,1.08873916672946e-59,7.17380756382727e-63,0.15,0.15,0.9
"R0s67",0,0.0974830228336517,0.097483022833622,1.036035926765,1.03603592676468,2.33727622753705e-62,1.76547600888094e-62,5000,0.645141417051906,1.50787369747499e-62,8.73558279250949e-66,0.15,0.15,0.9
"R0s68",0,0.0860301097150102,0.0860301097150903,1.03603592676372,1.03603592676468,2.69478250872561e-65,2.08760098553412e-65,5000,0.645141417051452,1.73851580632471e-65,8.71803270406157e-69,0.15,0.15,0.9
"R0s69",0,0.074577196596581,0.0745771965965586,1.03603592676499,1.03603592676468,2.57030372854701e-68,2.04891445759957e-68,5000,0.645141417051905,1.65820938968861e-68,7.0515976706257e-72,0.15,0.15,0.9
"R0s70",0,0.063124283478037,0.0631242834780269,1.03603592676485,1.03603592676468,2.05079625102647e-71,1.68746252395295e-71,5000,0.645141417051853,1.32305359947185e-71,4.63925876059749e-75,0.15,0.15,0.9
"R0s71",0,0.0516713703594851,0.0516713703594953,1.03603592676448,1.03603592676468,1.50908916820414e-74,1.28540921816196e-74,5000,0.645141417051721,9.7357592443262e-75,2.70260977233402e-78,0.15,0.15,0.9
