"","W_st","R_eq_sen","R0_sen","R_eq_res","R0_res","No_trt_cat","Incidence","Vector_no","Prob_onward_tran","Risk","prevalence","vector_birth","vector_mortality","fit.adj","times","CS","CEs","CEr","CIs","CIr","CTs","CTr","CR","PS","PEs","PEr","PIs","PIr","PTs","PTr","PR","WS","WEs","WEr","WIs","WIr","WR","VS","VEs","VEr","VIs","VIr","total.cattle","treat_prop"
"R0s24",0,1.00001913967058,1.12791437073349,13.8923934316786,15.6691302934817,19.8914420578368,21.161147211084,5000,0.999999074001694,19.8914236383951,0.00545719344070363,0.06,0.06,0.9,3000,44.3522223218618,0.869040953227268,0,0.272859672035181,0,0.0217600700869368,0,4.48411698278906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4997.54605722257,1.71483308823845,0,0.739109689199796,0,50.0000000000003,0.94
"R0s25",0,0.953533478529997,0.954699153714324,15.6499984902618,15.6691302934817,0.203840424962932,0.213716723134154,5000,0.999999840304744,0.203840392410583,4.61122589238139e-05,0.06,0.06,0.9,3000,49.9391647328438,0.00877686747984205,0,0.00230561294619069,0,0.000223079690813878,0,0.0495297070385772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999.97856601003,0.0149011470411282,0,0.00653284316564382,0,49.9999999999992,0.95
"R0s26",0,0.781483929333194,0.781483936695158,15.6691301458708,15.6691302934817,1.10241359933104e-06,1.12968116904108e-06,5000,0.999999843330939,1.10241342661694e-06,1.97429935187432e-10,0.06,0.06,0.9,3000,49.9999995299856,4.63934771680113e-08,0,9.87149675937162e-09,0,1.20847577438765e-09,0,4.12541942251398e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999.99999989898,6.86630377515368e-08,0,3.23893556188805e-08,0,50.000000000001,0.96
"R0s27",0,0.608268719676101,0.608268719675991,15.6691302934846,15.6691302934817,3.38658936764372e-13,3.40739146607252e-13,5000,0.999999843330962,3.38658883707002e-13,4.50185749724277e-17,0.06,0.06,0.9,3000,50.00000000001,1.39933941111808e-14,0,2.25092874862138e-15,0,3.71990532307058e-16,0,3.76273902741994e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999.99999999991,1.73355997142899e-14,0,9.00396860593161e-15,0,50.0000000000104,0.97
"R0s28",0,0.435053502656685,0.435053502656823,15.6691302934767,15.6691302934817,2.62420576769988e-21,2.60852350302287e-21,5000,0.999999843330962,2.62420535656808e-21,2.30187368597165e-25,0.06,0.06,0.9,3000,49.999999999985,1.07126221890056e-22,0,1.15093684298583e-23,0,2.88974458607033e-24,0,1.51030837924135e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999.99999999991,1.03754150982107e-22,0,6.1639690434046e-23,0,49.999999999985,0.98
"R0s29",0,0.26183828563766,0.261838285637655,15.669130293482,15.6691302934817,4.18412929190561e-32,4.14408225226359e-32,5000,0.999999843330962,4.1841286363821e-32,1.81655931855623e-36,0.06,0.06,0.9,3000,49.9999999999935,1.70188182844501e-33,0,9.08279659278113e-35,0,4.62302346247523e-35,0,5.62047717147826e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000074,1.12251592604278e-33,0,8.24953628024514e-34,0,49.9999999999935,0.99
"R0s30",0,1.00000000000001,6.36992669076753,0.900000000000008,5.73293402169078,0,98.8201342017917,5000,0.593430340259404,0,0.424741916155867,0.09,0.09,0.9,3000,8.03460402930039,4.05832173313313,0,21.2370958077934,0,0,0,16.6699784297733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4884.73599302267,96.2109947720139,0,19.0530122053182,0,50.0000000000001,0
"R0s31",0,1,5.10242633545192,1.12357016932475,5.73293402169078,20.4598256992081,102.299128496041,5000,0.674883002564491,13.8079885998277,0.351756072459945,0.09,0.09,0.9,3000,9.9910004154861,4.2011962421372,0,17.5878036229973,0,0.022381851901187,0,18.1976178674782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4904.04321054012,80.0952388454388,0,15.8615506151478,0,50,0.2
"R0s32",0,1.00000000000001,3.8349259801363,1.49492690377483,5.73293402169078,41.1366757902607,102.841689475652,5000,0.775735002943859,31.9111593152585,0.265216253356211,0.09,0.09,0.9,3000,13.230819092645,4.22347800721363,0,13.2608126678105,0,0.0450011157856734,0,19.2398891165454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4927.15575887727,60.8031690517395,0,12.041072070921,0,50.0000000000002,0.4
"R0s33",0,1,2.56742562482069,2.23295037888047,5.73293402169078,56.2090269160428,93.6817115267387,5000,0.892788351930177,50.1827645039729,0.161062520240563,0.09,0.09,0.9,3000,19.6503499376228,3.84729821465046,0,8.05312601202814,0,0.0614893858061262,0,18.3877364498921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4955.32163418448,37.2930816186637,0,7.38528419686407,0,49.9999999999996,0.6
"R0s34",0,1.00000000006098,1.29992526950507,4.4102027682123,5.73293402169078,31.5765773459174,39.4707216832619,5000,0.987847286104002,31.1928362356177,0.0339300692006796,0.09,0.09,0.9,3000,38.5377301465061,1.62097419643786,0,1.69650346003398,0,0.034542927593448,0,8.11024926942858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4990.40153716267,8.01184760173573,0,1.58661523565921,0,50,0.8
"R0s35",0,0.666175091847217,0.666175091847264,5.73293402169037,5.73293402169078,1.19810957021514e-11,1.236885192652e-11,5000,0.996762435798877,1.19423061356159e-11,5.72181366264118e-15,0.09,0.09,0.9,3000,49.9999999999981,5.07961064744147e-13,0,2.86090683132059e-13,0,1.31540724783906e-14,0,9.6329311257752e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999.99999999984,1.51448732587569e-12,0,3.33362940168166e-13,0,50.0000000000085,0.9
"R0s36",0,0.602800074081607,0.602800074081483,5.73293402169196,5.73293402169078,1.4039956474706e-14,1.41964876679367e-14,5000,0.996762435798882,1.39945012142382e-14,5.96824387730646e-18,0.09,0.09,0.9,3000,50.0000000000098,5.83017974042577e-16,0,2.98412193865323e-16,0,1.5428573666715e-17,0,2.855976600109e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000005,1.6257905925696e-15,0,3.68206255173643e-16,0,50.0000000000098,0.91
"R0s37",0,0.539425056315798,0.539425056315703,5.73293402169179,5.73293402169078,7.88374260270682e-18,7.82533898521108e-18,5000,0.996762435798881,7.85821847988546e-18,2.94655314632416e-21,0.09,0.09,0.9,3000,50.0000000000085,3.21369157503535e-19,0,1.47327657316208e-19,0,8.67225832404009e-21,0,5.40009674783528e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000003,8.29804778127752e-19,0,1.94153528053253e-19,0,50.0000000000085,0.92
"R0s38",0,0.476050038549898,0.476050038549922,5.73293402169049,5.73293402169078,1.87429170899254e-21,1.83115337079838e-21,5000,0.996762435798877,1.86822356925305e-21,6.06361974038336e-25,0.09,0.09,0.9,3000,49.9999999999962,7.52013704639993e-23,0,3.03180987019168e-23,0,2.06408506930216e-24,0,1.71155892629727e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000012,1.77557793775082e-22,0,4.31354200847407e-23,0,49.9999999999962,0.93
"R0s39",0,0.412675020784161,0.412675020784141,5.73293402169105,5.73293402169078,1.61248364004567e-25,1.55553825517575e-25,5000,0.996762435798879,1.60726312073776e-25,4.42382966409028e-29,0.09,0.09,0.9,3000,50.0000000000001,6.38824745452053e-27,0,2.21191483204514e-27,0,1.77802091404774e-28,0,1.02440623357907e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000023,1.35725776899227e-26,0,3.44535646539603e-27,0,50.0000000000001,0.94
"R0s40",0,0.349300003018191,0.34930000301836,5.732934021688,5.73293402169078,4.06390721169664e-30,3.88565787832315e-30,5000,0.996762435798869,4.05075005119134e-30,9.19326682242681e-34,0.09,0.09,0.9,3000,49.9999999999891,1.59575272210396e-31,0,4.5966334112134e-32,0,4.48755642830304e-33,0,7.34702498113469e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999.99999999867,2.98662495922017e-31,0,7.98739531128239e-32,0,49.9999999999891,0.95
"R0s41",0,0.285924985252684,0.28592498525258,5.73293402169286,5.73293402169078,2.19114095200583e-35,2.08576216791021e-35,5000,0.996762435798885,2.18404699250002e-35,3.9240881680301e-39,0.09,0.09,0.9,3000,50.0000000000102,8.56575838977497e-37,0,1.96204408401505e-37,0,2.42355601710311e-38,0,5.72798195066766e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.0000000008,1.37125916945874e-36,0,3.90691999665632e-37,0,50.0000000000102,0.96
"R0s42",0,0.222549967486819,0.222549967486799,5.73293402169129,5.73293402169078,1.5816671421551e-41,1.50688933055528e-41,5000,0.99676243579888,1.57654639323757e-41,2.10254013967086e-45,0.09,0.09,0.9,3000,50.0000000000011,6.18845720967263e-43,0,1.05127006983543e-43,0,1.75281282475721e-44,0,4.70002131191654e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000034,8.11117711310909e-43,0,2.50175654131549e-43,0,50.0000000000011,0.97
"R0s43",0,0.159174949720979,0.159174949721019,5.73293402168935,5.73293402169078,6.57475386452538e-49,6.3091588834735e-49,5000,0.996762435798874,6.55346767678238e-49,5.76717462432705e-53,0.09,0.09,0.9,3000,49.999999999987,2.59103034228891e-50,0,2.88358731216352e-51,0,7.30315665276896e-52,0,3.99298722834529e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000006,2.58630578287305e-50,0,8.85723608254985e-51,0,49.999999999987,0.98
"R0s44",0,0.0957999319552282,0.0957999319552378,5.7329340216902,5.73293402169078,2.5139323635303e-58,2.44901150974339e-58,5000,0.996762435798876,2.50579334610609e-58,1.09143550368425e-62,0.09,0.09,0.9,3000,49.9999999999864,1.00575421344698e-59,0,5.45717751842127e-61,0,2.80080141200506e-61,0,3.48769953384007e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000086,6.60504221207104e-60,0,2.63420746511727e-60,0,49.9999999999864,0.99
"R0s45",0,0.999999999999697,2.62191741671935,0.899999999999727,2.35972567504742,0,72.2528769370057,5000,0.59343034025929,0,0.310552355002261,0.12,0.12,0.9,3000,19.3167731942821,2.9672639399181,0,15.527617750113,0,0,0,12.1883451156866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4936.12807507062,58.0775946271653,0,5.79433030225194,0,49.9999999999998,0
"R0s46",0,1.00000000000269,2.10020320890646,1.12357016932778,2.35972567504742,13.2785257628507,66.3926288144103,5000,0.674883002565474,8.96145133647568,0.228291391093295,0.12,0.12,0.9,3000,24.0339659029302,2.72659666588954,0,11.4145695546647,0,0.0145259300572496,0,11.8103419464585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4952.82804610978,42.8926107731453,0,4.27934310883378,0,50.0000000000002,0.2
"R0s47",0,1.00000000029145,1.57848900109357,1.49492690421052,2.35972567504742,20.3067301270348,50.7668253272618,5000,0.775735003041568,15.7526413568596,0.130921489856575,0.12,0.12,0.9,3000,31.8492423340602,2.08487989023662,0,6.54607449282877,0,0.02221437430513,0,9.49758890857108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4972.78111430407,24.7496440914237,0,2.46924160071977,0,50.0000000000018,0.4
"R0s48",0,1.00116018789017,1.05677479328068,2.2355410208694,2.35972567504742,4.82675107223072,8.04935099712044,5000,0.893065739466332,4.31060601554164,0.0138306733797136,0.12,0.12,0.9,3000,47.3961649192247,0.330568829450531,0,0.69153366898568,0,0.00528014336392289,0,1.57645243897493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4997.09875333913,2.63808967528522,0,0.263156985728175,0,49.9999999999998,0.6
"R0s49",0,0.535060585467975,0.535060585467785,2.35972567504826,2.35972567504742,3.83629341373976e-16,3.85606517374194e-16,5000,0.905553871427443,3.47397035274364e-16,4.12222324086467e-19,0.12,0.12,0.9,3000,50.0000000000149,1.58359966067431e-17,0,2.06111162043233e-17,0,4.21770731822672e-19,0,2.62141331684961e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000029,8.80072738703489e-17,0,9.79926345129143e-18,0,50.0000000000149,0.8
"R0s50",0,0.274203481561203,0.274203481561339,2.35972567504625,2.35972567504742,1.26162950988024e-36,1.08880699446972e-36,5000,0.905553871427253,1.14247348697892e-36,6.02516593330259e-40,0.12,0.12,0.9,3000,49.9999999999762,4.47148663026578e-38,0,3.0125829666513e-38,0,1.39601584280752e-39,0,5.80234279816157e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999.99999999991,1.52240720170992e-37,0,1.99080636853912e-38,0,49.9999999999762,0.9
"R0s51",0,0.248117771170915,0.248117771170694,2.35972567504952,2.35972567504742,1.28473168951193e-39,1.10479547803576e-39,5000,0.905553871427562,1.1633937551832e-39,5.46126482209889e-43,0.12,0.12,0.9,3000,49.9999999999993,4.53714775374029e-41,0,2.73063241104945e-41,0,1.42292163154829e-42,0,5.29524091090081e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00000000452,1.41955061741861e-40,0,1.90488596226976e-41,0,49.9999999999993,0.91
"R0s52",0,0.222032060780087,0.22203206078005,2.35972567504781,2.35972567504742,7.46361855238752e-43,6.41597106749074e-43,5000,0.9055538714274,6.75870867497189e-43,2.78953155078275e-46,0.12,0.12,0.9,3000,50.0000000000313,2.63489571560195e-44,0,1.39476577539138e-44,0,8.27487743202168e-46,0,4.86718682141866e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999.9999999977,7.48732142319655e-44,0,1.03396474344224e-44,0,50.0000000000313,0.92
